HTTrack3.49-2+htsswf+htsjava launched on Wed, 05 Nov 2025 15:32:53 at http://imagine-wp.local/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qiC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://imagine-wp.local/ -O1 "C:\Users\user\Documents\GitHub\imagine-uo.github.io\Imagine_HTML" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

16:08:26	Warning: 	Retry after error -4 (Incorrect length (10380306 Bytes, 11742650 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Miranda.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Warning: 	Retry after error -4 (Incorrect length (840989 Bytes, 4897533 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Marina.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Error: 	"Not Found" (404) at link imagine-wp.local/wp-content/uploads/2025/10/NPSEIO2025-RPF.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Warning: 	Moved Permanently for imagine-wp.local/?p=482
16:08:26	Warning: 	File has moved from imagine-wp.local/?p=482 to http://imagine-wp.local/funding/
16:08:28	Warning: 	HTML file (819 bytes) retransferred due to lack of cache: imagine-wp.local/?p=972
16:08:28	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fimagine-wp.local%2F2025%2F11%2F03%2Fbfta-2025-school-report%2F&format=xml
16:08:40	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/wp-content/uploads/2025/11/BFTA1.jpg (from imagine-wp.local/blog/)
16:08:42	Warning: 	HTML file (877 bytes) retransferred due to lack of cache: imagine-wp.local/?p=166
16:08:47	Warning: 	HTML file (809 bytes) retransferred due to lack of cache: imagine-wp.local/?p=864
16:12:04	Warning: 	HTML file (831 bytes) retransferred due to lack of cache: imagine-wp.local/?p=759
16:12:08	Warning: 	HTML file (811 bytes) retransferred due to lack of cache: imagine-wp.local/?p=811
16:26:26	Warning: 	Retry after error -4 (Incorrect length (827988 Bytes, 3352383 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT2025.png (from imagine-wp.local/blog/)
16:33:15	Error: 	"Not Found" (404) at link imagine-wp.local/OPR/ (from imagine-wp.local/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.32.5)
16:33:15	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/miranda/ (from imagine-wp.local/members/)
16:33:15	Warning: 	HTML file (791 bytes) retransferred due to lack of cache: imagine-wp.local/miranda/
16:33:19	Warning: 	HTML file (779 bytes) retransferred due to lack of cache: imagine-wp.local/?p=400
16:33:21	Warning: 	Moved Permanently for imagine-wp.local/perez-fernandez/
16:33:21	Warning: 	File has moved from imagine-wp.local/perez-fernandez/ to http://imagine-wp.local/members/perez-fernandez/
16:33:21	Warning: 	HTML file (49073 bytes) retransferred due to lack of cache: imagine-wp.local/members/perez-fernandez/
16:33:32	Warning: 	HTML file (785 bytes) retransferred due to lack of cache: imagine-wp.local/?p=408
16:33:33	Warning: 	Moved Permanently for imagine-wp.local/?p=699
16:33:33	Warning: 	File has moved from imagine-wp.local/?p=699 to http://imagine-wp.local/members/nicolas-carrizosa/
